2026-05-19 06:09:25,425 - main - INFO - === Logging system initialized ===
2026-05-19 06:09:25,425 - main - INFO - Log file: logs/app_20260519_060925.log
2026-05-19 06:09:25,425 - main - INFO - Log level: INFO
2026-05-19 06:09:25,425 - main - INFO - Timestamp: 20260519_060925
2026-05-19 06:09:30,603 - main - INFO - Included router: routers.aihub.router
2026-05-19 06:09:30,695 - main - INFO - Included router: routers.auth.router
2026-05-19 06:09:30,722 - main - INFO - Included router: routers.health.router
2026-05-19 06:09:30,777 - main - INFO - Included router: routers.settings.router
2026-05-19 06:09:30,913 - main - INFO - Included router: routers.storage.router
2026-05-19 06:09:31,098 - main - INFO - Included router: routers.user.router
2026-05-19 06:09:33,492 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:33,843 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:34,194 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:34,645 - watchfiles.main - DEBUG - 8 changes detected: {(<Change.deleted: 3>, '/workspace/app/backend/services/__pycache__/reservations.cpython-310.pyc.140137171467952'), (<Change.deleted: 3>, '/workspace/app/backend/routers/__pycache__/reservations.cpython-310.pyc.140137171465392'), (<Change.added: 1>, '/workspace/app/backend/services/__pycache__/reservations.cpython-310.pyc'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log'), (<Change.added: 1>, '/workspace/app/backend/services/__pycache__/reservations.cpython-310.pyc.140137171467952'), (<Change.added: 1>, '/workspace/app/backend/routers/__pycache__/reservations.cpython-310.pyc.140137171465392'), (<Change.added: 1>, '/workspace/app/backend/routers/__pycache__/reservations.cpython-310.pyc')}
2026-05-19 06:09:34,996 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:35,348 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:35,699 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:36,050 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:36,401 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:36,752 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:37,104 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:37,455 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:37,806 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:38,157 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:38,508 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:38,859 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:39,210 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:39,611 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:39,962 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:40,313 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log')}
2026-05-19 06:09:40,664 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:41,065 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
2026-05-19 06:09:41,416 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060925.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_060933.log')}
