2026-05-19 06:16:11,285 - main - INFO - === Logging system initialized ===
2026-05-19 06:16:11,285 - main - INFO - Log file: logs/app_20260519_061611.log
2026-05-19 06:16:11,286 - main - INFO - Log level: INFO
2026-05-19 06:16:11,286 - main - INFO - Timestamp: 20260519_061611
2026-05-19 06:16:12,197 - main - INFO - Included router: routers.aihub.router
2026-05-19 06:16:12,218 - main - INFO - Included router: routers.auth.router
2026-05-19 06:16:12,221 - main - INFO - Included router: routers.health.router
2026-05-19 06:16:12,282 - main - INFO - Included router: routers.reservations.router
2026-05-19 06:16:12,305 - main - INFO - Included router: routers.settings.router
2026-05-19 06:16:12,356 - main - INFO - Included router: routers.storage.router
2026-05-19 06:16:12,366 - main - INFO - Included router: routers.user.router
2026-05-19 06:16:13,731 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260519_061613.log')}
2026-05-19 06:16:14,082 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:14,433 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:14,784 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061613.log')}
2026-05-19 06:16:15,135 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:15,486 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:15,837 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:16,188 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:16,538 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:16,889 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:17,244 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:17,595 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:17,946 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:18,297 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:18,648 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061613.log')}
2026-05-19 06:16:18,999 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061613.log')}
2026-05-19 06:16:19,351 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
2026-05-19 06:16:19,702 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260519_061611.log')}
