2026-05-23 15:27:31,448 - main - INFO - === Logging system initialized ===
2026-05-23 15:27:31,448 - main - INFO - Log file: logs/app_20260523_152731.log
2026-05-23 15:27:31,448 - main - INFO - Log level: INFO
2026-05-23 15:27:31,449 - main - INFO - Timestamp: 20260523_152731
2026-05-23 15:27:39,298 - main - INFO - Included router: routers.aihub.router
2026-05-23 15:27:39,352 - main - INFO - Included router: routers.auth.router
2026-05-23 15:27:39,370 - main - INFO - Included router: routers.health.router
2026-05-23 15:27:39,463 - main - INFO - Included router: routers.printer_settings.router
2026-05-23 15:27:39,578 - main - INFO - Included router: routers.reservations.router
2026-05-23 15:27:39,678 - main - INFO - Included router: routers.salons.router
2026-05-23 15:27:39,712 - main - INFO - Included router: routers.settings.router
2026-05-23 15:27:39,768 - main - INFO - Included router: routers.storage.router
2026-05-23 15:27:39,802 - main - INFO - Included router: routers.user.router
2026-05-23 15:27:42,324 - watchfiles.main - DEBUG - 1 change detected: {(<Change.added: 1>, '/workspace/app/backend/logs/app_20260523_152742.log')}
2026-05-23 15:27:42,675 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:43,027 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:43,377 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152742.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:43,728 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152742.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:44,079 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:44,430 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:44,781 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:45,133 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:45,485 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:45,836 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:46,187 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:46,538 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:46,889 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:47,240 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:47,591 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:47,944 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:48,295 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:48,646 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:48,997 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:49,348 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:49,699 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:50,050 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:50,401 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:50,752 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152742.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:51,103 - watchfiles.main - DEBUG - 2 changes detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152742.log'), (<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:51,455 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:51,806 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
2026-05-23 15:27:52,157 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/workspace/app/backend/logs/app_20260523_152731.log')}
